white;black;event;year;heatmap
Spassky, Boris V;Fischer, Robert James;St Stefan/Belgrade m;1992;0.36,0.03,0.13,0.94,0.28,0.54,0.66,0.13,-0.02,-0.02,0.07,0.03,0.16,0.06,0.59,0.03,0.02,0.0,0.24,0.02,0.15,0.0,0.1,0.09,-0.05,-0.03,0.0,0.01,0.03,0.08,0.0,0.0,0.0,-0.01,-0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.06,-0.17,0.06,0.0,-0.13,-0.1,0.0,0.07,-0.05,-0.01,-0.08,-0.09,-0.12,-0.3,-0.12,-0.19,-0.22,-0.13,-0.88,-0.5,-0.53,-1.0,-0.16
Svidler, Peter;Kasparov, Gary;Linares16th;1999;0.18,0.37,0.13,0.82,0.55,0.03,0.02,0.2,0.3,0.3,0.3,0.07,0.33,0.33,0.04,0.22,0.0,0.0,0.28,0.02,0.04,0.34,0.26,-0.03,0.06,-0.05,0.0,0.4,0.08,-0.07,0.0,0.0,-0.15,-0.03,-0.04,-0.01,0.2,0.0,-0.03,-0.01,0.0,0.04,-0.22,0.07,-0.24,-0.1,-0.09,-0.15,-0.15,-0.13,-0.01,0.01,-0.26,-0.3,-0.34,-0.08,-0.38,-0.06,-0.47,-0.56,-0.5,-0.17,-1.0,-0.32
Panno, Oscar;Rubio Aguado, Fernando;Mar del Plata;1957;0.45,0.03,0.07,0.45,0.43,0.46,0.47,0.65,0.04,0.17,0.01,0.05,0.09,0.12,0.11,0.08,0.0,0.0,0.16,0.08,0.0,0.16,0.23,0.01,0.13,0.0,0.02,-0.11,-0.04,0.09,-0.1,0.27,0.0,0.0,-0.1,0.11,0.0,-0.27,0.13,-0.13,-0.13,0.19,0.0,-0.12,-0.03,-0.15,-0.16,-0.05,-0.04,-0.17,-0.18,-0.04,-0.01,-0.15,-0.16,-0.08,-0.29,-0.33,-0.2,-0.24,-0.42,-0.37,-1.0,-0.13
Wahls, Matthias;Kasparov, Gary;HSK-Kasparov simul;1987;0.83,0.08,0.25,0.8,0.87,0.67,1.0,0.39,0.18,0.43,0.22,0.22,0.94,0.43,0.36,0.43,0.2,-0.22,0.36,0.2,0.02,0.04,0.0,0.0,0.25,0.0,-0.29,0.03,0.18,-0.03,0.03,0.0,-0.1,-0.08,-0.14,-0.15,-0.31,-0.11,-0.0,0.0,-0.36,0.0,-0.42,-0.25,-0.42,-0.19,-0.41,0.0,-0.07,-0.08,-0.01,0.05,-0.37,-0.31,-0.36,-0.43,-0.58,-0.08,-0.31,-0.53,-0.86,-0.63,-0.83,-0.53
Shirov, Alexei;Polgar, Judit;Buenos Aires Sicilian;1994;0.23,0.03,0.04,0.33,0.67,0.16,0.01,0.34,0.06,0.09,0.19,0.01,0.03,0.08,0.15,0.09,0.0,0.04,0.08,0.07,0.04,0.05,0.07,0.0,0.0,-0.02,0.07,0.0,0.09,0.01,0.02,0.0,0.02,-0.01,-0.03,0.0,-0.09,-0.01,-0.04,0.05,-0.07,0.0,-0.04,-0.06,-0.08,0.0,0.0,0.0,-0.02,-0.07,-0.0,-0.01,-0.1,-0.09,-0.03,-0.04,-0.35,-0.02,-0.05,-0.36,-1.0,-0.15,-0.04,-0.35
Kantans,T;Polgar,Ju;European Rapid 2011;2011;0.29,0.05,0.14,0.67,0.68,0.05,1.0,0.12,0.11,0.11,0.06,0.1,0.0,0.04,0.09,0.11,0.0,0.04,0.01,0.04,0.08,0.1,0.04,0.0,0.13,0.0,0.0,0.05,0.02,-0.07,0.0,0.0,0.0,0.11,-0.06,-0.07,-0.03,-0.1,0.0,0.0,0.0,0.0,-0.06,0.02,-0.02,-0.05,-0.1,0.0,-0.11,-0.12,-0.0,-0.26,-0.13,-0.16,-0.11,-0.11,-0.28,-0.02,-0.1,-0.46,-0.44,-0.3,-0.93,-0.17
Neiksans,A;Polgar,Ju;European Rapid Championship;2010;0.49,0.11,0.13,0.58,0.74,0.48,0.38,0.56,0.23,0.23,0.23,0.03,0.01,0.12,0.23,0.1,0.0,0.14,0.2,0.3,0.01,0.04,-0.01,0.08,0.0,0.0,0.0,0.02,0.19,0.14,-0.1,0.0,0.0,-0.12,-0.03,0.07,0.0,0.0,0.0,-0.09,-0.14,-0.16,-0.35,0.0,-0.13,-0.18,0.0,0.0,-0.08,-0.2,-0.21,-0.23,-0.06,-0.23,-0.23,-0.09,-0.45,-0.1,-0.22,-0.28,-1.0,-0.42,-0.1,-0.68
Fischer, Robert James;Sherwin, James T;USA-ch;1957;0.25,0.08,0.24,0.69,0.33,0.47,0.88,0.75,0.15,0.12,0.05,0.01,0.27,0.04,0.15,0.14,0.0,0.14,0.05,0.0,0.08,0.11,-0.07,0.0,0.14,-0.02,0.02,0.13,0.15,0.0,-0.06,-0.07,-0.01,-0.04,-0.01,0.09,-0.08,0.0,-0.41,-0.02,-0.08,0.05,-0.01,-0.14,-0.04,-0.19,0.0,0.0,-0.0,0.06,-0.0,-0.05,-0.13,-0.07,-0.15,-0.28,-0.42,-0.19,-0.14,-0.51,-0.71,-0.35,-1.0,-0.24
Panno, Oscar;Pilnik, Herman;Candidats Tournament;1956;0.25,0.01,0.32,0.38,0.34,0.3,0.36,0.08,0.13,0.2,0.16,0.01,0.15,0.13,0.14,1.0,0.0,0.08,0.26,0.0,0.0,0.12,0.12,0.06,-0.05,0.08,0.13,0.08,0.03,0.0,0.0,0.03,0.0,0.01,0.0,0.08,-0.05,-0.03,0.01,-0.04,0.0,0.0,-0.04,-0.12,-0.05,-0.11,-0.12,-0.03,-0.13,-0.06,-0.1,-0.17,-0.31,-0.15,-0.21,-0.28,-0.27,-0.03,-0.2,-0.4,-0.61,-0.19,-0.92,-0.3
Panno,O;Slipak,S;IV Copa Mercosur;2001;0.14,0.03,0.1,0.29,0.49,0.05,1.0,0.05,-0.13,0.07,0.06,0.01,0.14,0.09,0.09,0.06,0.0,0.04,0.03,0.0,0.02,0.16,0.0,0.03,-0.04,0.05,0.02,0.04,0.05,0.01,0.0,0.0,-0.04,-0.0,0.05,0.02,0.01,0.0,0.07,0.0,0.0,-0.04,-0.01,-0.07,-0.04,-0.01,-0.09,-0.03,0.01,-0.12,-0.04,-0.02,-0.06,-0.09,-0.17,-0.19,-0.23,-0.05,-0.14,-0.37,-0.17,-0.25,-0.86,-0.06
Panno,O;Rothuis,V;Euwe Stimulans;2007;0.4,0.06,0.18,0.77,0.35,0.59,0.75,0.76,0.31,0.12,0.0,0.06,0.27,0.53,0.58,0.31,0.0,0.11,0.34,0.06,0.25,0.0,0.19,0.0,0.0,0.0,0.22,0.16,-0.09,0.14,-0.15,0.0,-0.22,0.52,0.0,0.29,-0.04,-0.25,-0.01,-0.37,0.0,0.0,-0.41,-0.15,-0.31,-0.08,-0.13,0.0,-0.08,-0.31,-0.25,-0.25,-0.03,-0.34,-0.44,-0.31,-0.39,-0.46,-0.19,-0.37,-0.59,-0.31,-0.71,-1.0
Panno, Oscar;Borghi, Humberto;San Fernando op;1993;0.61,0.08,0.19,0.7,0.38,0.37,1.0,0.19,0.26,0.2,0.18,0.35,0.05,0.26,0.26,0.09,0.0,0.25,0.0,0.14,0.13,0.52,0.0,0.16,0.0,0.17,0.13,0.05,0.12,0.02,-0.03,0.01,0.03,0.0,0.0,-0.06,0.02,-0.22,0.0,0.0,0.0,0.0,-0.22,-0.07,-0.12,-0.53,-0.23,-0.02,-0.26,-0.26,-0.27,-0.02,-0.07,-0.27,-0.86,-0.26,-0.57,-0.17,-0.38,-0.69,-0.26,-0.47,-0.44,-0.16
Polgar, Judit;Sax, Gyula;HUN-ch;1991;0.11,0.04,0.55,1.0,0.34,0.1,0.01,0.17,0.15,0.14,0.14,0.09,0.22,0.18,0.03,0.11,0.0,0.18,0.13,0.07,0.05,0.02,-0.03,0.0,0.0,0.01,0.24,0.28,-0.0,0.04,0.0,0.01,-0.14,0.09,0.05,0.04,0.02,0.16,0.03,0.0,0.0,0.0,-0.21,-0.08,-0.02,-0.24,0.0,-0.09,-0.12,-0.08,-0.11,-0.07,-0.21,0.01,-0.14,-0.16,-0.26,-0.05,-0.05,-0.45,-0.57,-0.16,-0.7,-0.77
Karpov, Anatoly;Kasparov, Gary;World Championship 33th-KK3;1986;0.26,0.25,0.25,0.58,0.19,0.1,1.0,0.07,0.05,0.1,0.0,0.02,0.11,0.06,0.18,0.11,0.08,0.07,0.17,0.12,0.32,0.19,0.1,0.0,0.04,0.01,0.07,0.15,0.0,0.09,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,-0.05,0.0,-0.05,-0.04,-0.06,0.0,-0.08,-0.01,-0.29,-0.09,0.0,-0.04,-0.47,-0.04,-0.16,-0.11,-0.11,-0.27,-0.06,-0.22,-0.14,-0.23,-0.44,-0.68,-0.08,-0.76,-0.18
Arkhipov, Sergey;Panno, Oscar;San Fernando op;1992;0.29,0.07,0.49,0.63,0.42,0.72,0.86,0.2,0.18,0.11,0.01,0.03,0.38,0.27,0.29,0.3,0.0,0.19,0.2,0.14,0.33,0.19,0.02,0.0,-0.06,0.0,0.14,0.06,0.29,0.02,0.0,0.01,-0.17,0.0,-0.01,0.16,-0.05,-0.02,0.02,0.0,0.0,0.0,-0.12,-0.28,0.0,-0.32,-0.28,-0.04,-0.1,-0.31,-0.06,-0.43,-0.31,-0.53,-0.4,-0.28,-0.58,-0.16,-0.21,-0.49,-0.26,-0.44,-1.0,-0.15
Fischer, Robert James;Rossetto, Hector;Portoroz Interzonal;1958;0.16,0.06,0.23,0.55,0.17,0.08,1.0,0.03,0.04,0.05,-0.07,0.14,0.08,0.11,0.43,0.01,0.02,0.03,-0.05,0.0,0.02,0.24,0.09,0.1,-0.01,-0.06,-0.11,0.09,0.0,0.01,-0.0,0.01,-0.04,-0.09,-0.01,-0.12,-0.14,0.02,0.02,-0.0,-0.03,-0.06,-0.06,-0.11,-0.1,-0.1,-0.07,0.0,-0.01,-0.14,-0.17,-0.08,-0.17,-0.09,-0.4,-0.09,-0.11,-0.1,-0.1,-0.17,-0.22,-0.07,-0.62,-0.05
Spassky, Boris V;Fischer, Robert James;World Championship 28th;1972;0.11,0.82,0.75,0.63,1.0,0.09,0.01,0.21,0.18,0.19,0.41,-0.03,0.0,0.47,0.11,0.22,0.3,0.06,0.26,0.08,0.0,0.2,0.27,0.0,0.1,-0.0,0.0,0.21,0.19,0.08,0.0,0.0,-0.24,-0.02,-0.15,-0.06,-0.0,-0.04,0.24,0.09,-0.19,-0.04,0.0,-0.1,-0.19,-0.15,0.0,0.0,-0.71,-0.37,-0.88,-0.19,-0.17,-0.1,0.25,-0.11,-0.24,-0.92,-0.47,-0.54,-0.71,-0.29,-0.24,-0.15
Ponomariov,R;Polgar,Ju;GMA;2003;0.32,0.17,0.28,0.29,0.56,0.45,0.56,0.33,0.03,0.31,0.2,0.05,0.12,0.28,0.29,0.18,0.08,0.0,0.18,0.26,0.28,0.11,-0.03,0.12,0.21,0.1,0.02,0.28,0.0,0.12,0.08,-0.12,-0.06,0.0,0.25,-0.27,0.01,-0.01,-0.13,-0.01,0.19,-0.01,-0.25,-0.01,-0.08,-0.37,-0.06,0.0,-0.29,-0.08,-0.56,-0.26,-0.35,-0.29,-0.29,-0.29,-0.45,-0.15,-0.26,-0.34,-0.28,-0.53,-1.0,-0.06
Spassky, Boris V;Polgar, Judit;Veterans-Women;1994;0.11,0.36,0.2,0.64,0.21,0.17,0.15,1.0,0.02,0.08,0.06,0.34,0.0,0.01,0.24,0.11,0.0,0.01,0.1,0.04,0.01,0.14,0.1,0.0,0.02,-0.04,0.0,-0.03,0.06,0.1,0.0,0.0,-0.0,0.0,-0.13,-0.05,0.06,-0.0,0.0,-0.0,-0.3,-0.19,-0.08,-0.03,-0.1,-0.11,-0.1,0.0,-0.13,0.0,0.0,-0.08,-0.21,-0.06,-0.16,-0.11,-0.16,-0.26,-0.3,-0.22,-0.2,-0.18,-0.96,-0.09
Fischer, Robert James;Kalme, G.;USA-ch;1958;0.46,0.11,0.29,0.43,0.4,0.05,1.0,0.07,0.05,-0.03,0.17,-0.03,0.06,0.09,0.03,0.09,0.0,-0.01,0.11,0.02,0.05,0.11,0.07,0.08,0.03,-0.01,0.08,0.04,0.07,0.07,-0.01,0.0,0.0,0.01,0.1,0.12,0.11,-0.14,0.2,0.0,-0.05,0.01,-0.01,0.05,-0.04,-0.36,-0.11,-0.21,-0.01,0.12,-0.38,-0.02,-0.2,-0.1,-0.19,-0.2,-0.23,-0.02,-0.3,-0.43,-0.28,-0.36,-0.89,-0.15
Ehlvest, Jaan;Kasparov, Gary;World Cup;1988;0.17,0.01,0.05,0.39,0.65,0.3,0.7,0.19,0.05,0.1,0.32,0.08,0.07,0.1,0.1,0.1,0.05,0.0,0.1,0.08,0.05,0.15,0.0,0.0,-0.05,0.04,0.16,-0.06,-0.01,-0.06,0.0,0.0,-0.01,0.1,0.0,-0.1,-0.09,-0.03,0.0,0.0,0.0,0.0,-0.04,-0.02,0.0,-0.06,-0.09,0.0,-0.04,-0.08,-0.08,-0.03,-0.3,-0.1,-0.1,-0.1,-0.24,-0.02,-0.08,-0.58,-0.56,-0.05,-1.0,-0.08
Hansen, Curt;Kasparov, Gary;Thessaloniki ol (Men);1988;0.36,0.12,0.17,0.54,0.31,0.31,1.0,0.16,0.24,-0.08,0.01,0.04,0.03,0.25,0.58,0.38,0.0,0.0,0.1,0.0,0.08,0.48,0.31,0.24,0.0,0.0,0.03,0.07,0.05,0.0,-0.02,0.02,-0.37,0.1,0.0,0.42,-0.06,-0.15,0.1,-0.11,0.0,-0.16,-0.04,-0.05,0.0,-0.51,-0.3,-0.12,-0.1,-0.2,-0.22,0.11,-0.08,-0.31,-0.48,-0.22,-0.52,-0.13,-0.18,-0.5,-0.24,-0.5,-0.88,-0.1
Polgar,Ju;Yu Yangyi;FIDE World Blitz 2014;2014;0.18,0.07,0.44,0.51,0.24,0.32,1.0,0.11,0.14,0.07,0.03,0.01,0.0,0.05,0.14,0.14,0.0,0.0,0.09,0.18,0.16,0.02,0.0,0.09,0.05,0.01,0.07,0.14,0.04,0.0,0.03,0.0,0.0,0.04,-0.04,0.0,0.0,0.0,0.0,0.0,-0.07,-0.09,-0.03,-0.11,0.1,-0.12,0.03,0.0,-0.02,-0.22,-0.53,-0.03,-0.17,-0.06,-0.11,-0.14,-0.39,-0.14,-0.18,-0.18,-0.47,-0.39,-0.49,-0.48
Kasparov, Gary;Balam, H.;El Pais sim;1997;0.27,0.31,0.08,0.69,0.55,0.14,1.0,0.15,0.11,0.11,0.07,0.09,0.04,0.11,0.11,0.11,0.0,0.12,0.07,0.0,0.0,0.08,0.07,0.0,0.0,0.0,0.0,0.11,0.01,0.0,-0.01,0.01,-0.34,0.06,-0.03,-0.1,-0.05,-0.01,0.03,-0.01,-0.04,-0.0,-0.1,-0.07,-0.01,-0.03,0.0,0.0,-0.06,-0.11,-0.01,-0.06,-0.14,-0.06,-0.11,-0.11,-0.21,-0.08,-0.3,-0.56,-0.72,-0.06,-0.97,-0.15
Polgar,Ju;Paunovic,D;Superstars Hotel Bali;2002;0.2,0.07,0.11,0.55,0.44,0.17,0.5,0.09,0.14,0.15,0.13,0.01,0.05,0.36,0.12,0.25,0.11,0.05,0.12,0.12,0.03,0.32,0.0,0.0,0.02,0.02,0.16,0.13,0.28,-0.01,-0.03,0.0,-0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.04,-0.04,-0.1,-0.24,-0.16,-0.2,0.0,-0.02,-0.12,-0.18,-0.07,-0.01,-0.25,-0.29,-0.25,-0.33,-0.27,-0.09,-0.37,-0.47,-0.17,-1.0,-0.19
Timman,J;Kasparov,G;Chess@iceland rapidplay Group A;2000;0.34,0.03,0.12,0.5,0.57,0.35,0.82,0.31,-0.01,0.06,0.0,0.05,0.04,0.01,1.0,0.26,0.02,0.11,0.24,0.0,-0.06,0.29,0.26,0.11,0.01,0.0,0.35,0.05,0.11,-0.01,0.11,0.11,-0.06,-0.05,-0.05,-0.08,0.09,-0.08,0.06,0.01,0.0,0.04,-0.05,-0.21,-0.02,-0.24,-0.24,-0.19,-0.19,0.15,0.14,-0.02,-0.22,-0.29,-0.7,-0.63,-0.47,-0.12,-0.14,-0.68,-0.48,-0.67,-0.77,-0.21
Polgar,Ju;Lautier,J;FIDE GP;2002;0.17,0.11,0.04,0.19,0.28,0.4,0.08,1.0,0.03,0.05,0.13,0.02,0.08,0.05,0.13,0.13,0.01,0.0,0.07,0.05,0.14,0.01,0.11,0.09,0.0,-0.0,0.02,0.22,0.07,0.06,0.01,0.01,-0.04,-0.03,-0.01,-0.07,0.06,-0.01,0.07,-0.03,-0.02,0.02,-0.2,-0.05,-0.12,-0.0,-0.08,0.05,-0.03,-0.03,-0.0,-0.33,-0.18,-0.06,-0.06,-0.18,-0.36,-0.01,-0.1,-0.23,-0.39,-0.27,-0.42,-0.68
Kasparov, Gary;EuropChess;El Pais sim;1997;0.46,0.04,0.13,0.56,0.81,0.18,0.61,0.62,0.02,0.09,0.45,0.0,0.05,0.03,0.18,0.14,0.14,-0.01,0.1,0.13,0.16,0.16,0.13,0.0,-0.03,0.01,0.15,0.21,0.05,0.13,-0.08,0.01,-0.12,0.06,-0.17,0.13,-0.02,0.01,0.0,0.01,0.0,-0.06,-0.13,-0.12,-0.03,-0.11,-0.22,0.0,-0.06,-0.12,-0.35,-0.5,-0.15,-0.07,-0.16,-0.16,-0.5,-0.1,-0.08,-0.41,-0.75,-0.23,-1.0,-0.21
Fischer, Robert James;Pupols, Viktors;USA-chJ;1955;0.35,0.04,0.13,0.31,0.67,0.29,0.13,0.6,0.03,0.13,0.15,0.01,-0.01,0.11,0.08,0.56,0.0,0.15,0.24,0.0,0.07,0.04,0.07,-0.01,0.0,0.1,0.08,0.0,-0.03,-0.0,0.01,0.04,0.11,0.0,0.04,0.08,-0.1,-0.12,-0.0,-0.01,0.0,0.0,-0.12,-0.09,0.0,-0.31,-0.47,-0.12,-0.1,-0.11,0.09,-0.08,-0.08,-0.05,-0.18,-0.15,-0.35,-0.07,-0.07,-0.06,-0.53,-0.35,-0.11,-1.0
Kasparov,G;Cerulik,Roman;ChessFriends Simul;2011;0.28,0.02,0.05,0.36,0.21,0.38,1.0,0.07,0.11,0.03,0.05,0.01,0.07,0.06,0.26,0.11,0.0,0.09,0.1,0.13,-0.01,0.0,0.19,-0.02,0.0,-0.02,0.06,0.05,0.06,0.01,0.0,-0.04,0.0,0.0,-0.04,-0.04,-0.02,0.08,0.01,0.08,0.0,-0.02,-0.11,-0.05,-0.05,-0.09,0.0,-0.07,-0.07,-0.09,-0.02,-0.28,-0.0,-0.06,-0.05,-0.22,-0.21,-0.01,-0.07,-0.44,-0.59,-0.31,-0.43,-0.42
Panno, Oscar;Braga, Fernando;Mar del Plata;1982;0.69,0.03,0.3,0.86,0.85,0.19,0.87,0.38,0.26,0.18,0.01,0.03,0.44,0.17,0.17,0.16,0.11,0.0,0.31,0.0,0.13,0.18,0.0,0.01,0.0,0.03,0.06,0.1,0.0,0.0,0.0,0.0,0.0,-0.11,-0.06,-0.01,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,-0.16,-0.26,0.0,0.0,-0.11,-0.26,-0.09,-0.12,-0.18,-0.17,-0.17,-0.17,-0.69,-0.24,-0.16,-0.96,-1.0,-0.42,-0.64,-0.44
Fischer, Robert James;Spassky, Boris V;World Championship 28th;1972;0.31,0.04,0.06,0.61,0.41,0.43,0.54,0.96,0.05,0.13,0.17,0.01,0.26,0.04,0.18,0.09,0.11,0.13,0.09,0.36,0.0,0.05,-0.01,0.09,0.02,0.0,0.12,0.1,0.05,0.02,0.16,0.02,-0.13,0.04,-0.09,0.0,-0.24,-0.02,-0.3,0.04,-0.02,0.0,-0.04,-0.11,-0.16,-0.38,0.0,0.0,-0.04,-0.12,-0.03,0.06,-0.25,-0.15,-0.4,-0.08,-0.37,-0.04,-0.11,-0.6,-0.39,-0.4,-1.0,-0.26
Llanos, Guillermo;Panno, Oscar;Trelew Clarin-GP;1995;0.07,0.67,0.29,0.31,0.6,0.08,0.19,0.13,0.04,0.09,0.85,0.0,0.17,0.15,0.03,0.04,0.1,0.06,0.15,0.28,0.05,0.07,0.04,0.0,0.0,0.02,0.11,-0.02,-0.01,-0.12,0.03,0.0,-0.09,0.0,0.01,0.01,-0.01,0.0,0.04,-0.01,-0.12,-0.16,-0.04,0.0,-0.12,-0.19,0.04,-0.02,-0.03,-0.1,-0.86,-0.07,-0.12,-0.09,-0.12,-0.03,-0.33,-0.13,-0.46,-0.32,-1.0,-0.04,0.11,-0.13
Nepomniachtchi,I;Carlsen,M;WCh 2021;2021;0.29,0.09,0.12,0.5,0.36,0.27,0.91,0.06,-0.0,0.04,0.22,0.13,0.37,0.1,0.1,0.03,0.0,0.09,0.1,0.01,0.16,0.17,0.07,0.07,0.06,-0.0,0.03,0.0,0.13,0.0,0.04,0.01,0.01,-0.01,0.0,0.01,-0.14,0.09,0.0,0.02,0.11,0.0,-0.1,-0.13,-0.1,-0.19,-0.06,-0.09,-0.01,-0.02,-0.14,-0.04,-0.07,-0.3,-0.14,-0.05,-0.13,-0.27,-0.13,-0.6,-0.66,-0.34,-1.0,-0.09
Panno, Oscar;Guimard, Carlos E;Buenos Aires;1968;0.21,0.19,0.04,0.52,0.17,0.31,1.0,0.06,0.16,0.11,0.1,0.07,0.18,0.05,0.21,0.05,0.01,0.02,0.13,0.12,0.06,0.06,0.12,0.08,-0.04,0.09,0.04,0.11,0.0,0.07,-0.01,0.0,-0.01,-0.02,-0.03,-0.04,-0.02,-0.06,0.0,0.0,0.0,0.0,-0.05,-0.04,-0.15,-0.22,-0.15,-0.01,-0.02,-0.13,-0.05,-0.02,-0.08,-0.15,-0.12,-0.12,-0.33,-0.04,-0.2,-0.39,-0.14,-0.46,-1.0,-0.06
Fischer, Robert James;Najdorf, Miguel;Santa Monica;1966;0.27,0.05,0.03,0.74,0.57,0.27,0.87,0.19,0.06,0.07,0.18,0.01,0.09,0.1,0.06,0.14,0.1,0.0,0.03,0.05,0.01,0.01,0.1,-0.07,0.06,-0.02,0.06,-0.09,0.1,0.01,0.0,0.01,-0.0,0.02,0.0,-0.24,-0.06,-0.01,0.01,-0.0,-0.07,-0.01,-0.18,-0.05,-0.25,-0.05,0.0,-0.01,-0.03,-0.06,0.03,-0.41,-0.01,-0.05,-0.03,-0.04,-0.44,-0.07,-0.03,-0.34,-1.0,-0.16,-0.18,-0.24
Kasparov,G;Vallejo Pons,F;SuperGM;2002;0.22,0.06,0.44,0.5,0.45,0.46,0.51,0.32,0.02,0.15,0.21,0.06,0.25,0.03,0.18,1.0,0.05,0.02,0.19,0.21,0.18,0.04,0.11,0.09,0.0,-0.03,0.12,0.27,0.03,0.1,0.0,-0.03,0.01,0.1,-0.05,-0.04,0.39,-0.1,0.18,0.48,-0.05,-0.05,-0.25,0.08,-0.13,-0.15,-0.14,-0.16,0.05,-0.12,-0.29,-0.18,-0.14,-0.25,-0.18,-0.57,-0.45,-0.82,-0.31,-0.26,-0.64,-0.84,-0.79,-0.61
Gelfand, Boris;Polgar, Judit;Novgorod;1996;0.17,0.16,0.21,0.77,0.62,0.33,0.95,0.21,-0.24,-0.1,0.01,0.02,0.15,0.13,0.12,0.08,0.0,0.0,0.03,0.0,0.05,0.18,0.01,0.06,0.0,0.0,0.01,0.07,0.03,0.02,-0.05,0.0,-0.04,0.0,-0.01,0.04,-0.26,0.0,-0.03,-0.01,0.0,0.0,-0.04,0.0,0.0,-0.04,-0.08,-0.06,-0.07,-0.05,-0.03,0.06,-0.13,-0.13,-0.31,-0.06,-0.28,-0.26,-0.11,-0.37,-0.44,-0.17,-1.0,-0.15
Timman, Jan H;Kasparov, Gary;Brussels blitz;1987;0.47,0.03,0.09,0.23,0.7,0.28,0.04,0.43,0.1,0.03,-0.02,0.0,0.12,0.27,0.14,0.15,0.0,0.28,0.13,0.3,0.07,0.15,0.16,0.0,0.03,0.0,0.14,0.16,0.02,0.0,0.01,0.06,-0.06,-0.04,-0.03,-0.02,0.02,0.0,0.01,-0.02,-0.03,-0.09,-0.12,-0.14,-0.03,-0.15,-0.15,0.0,-0.11,-0.05,-0.14,-0.45,-0.14,-0.07,-0.08,-0.15,-0.28,-0.19,-0.33,-0.24,-1.0,-0.04,-0.01,-0.48
Nunn, John DM;Polgar, Judit;Hastings9293;1992;0.31,0.06,0.07,0.91,0.86,0.33,0.54,0.29,0.04,-0.05,0.03,0.03,0.07,0.06,0.22,0.13,-0.07,0.22,0.02,0.0,-0.15,0.08,0.07,0.0,-0.07,-0.07,0.07,0.01,0.0,-0.08,0.0,0.0,0.0,0.06,0.03,0.0,-0.03,0.0,0.0,0.0,-0.07,-0.05,-0.02,0.19,-0.12,-0.16,0.0,0.0,-0.06,-0.08,-0.15,-0.09,-0.56,-0.13,-0.09,-0.13,-0.52,-0.07,-0.19,-0.15,-1.0,-0.06,-0.06,-0.52
Van Foreest, Jorden;Dubov, Daniil;84th Tata Steel Masters;2022;0.3,0.17,0.17,0.76,0.47,0.03,0.83,0.05,0.04,0.07,0.05,0.06,0.07,0.1,0.1,0.29,0.0,0.04,0.07,0.07,0.04,0.1,0.0,0.07,0.08,-0.03,0.03,0.0,0.1,0.0,0.01,0.0,-0.07,0.03,-0.07,0.03,-0.1,0.0,0.0,0.0,-0.03,-0.06,-0.08,-0.06,-0.05,-0.09,-0.09,-0.05,-0.01,-0.02,-0.09,-0.05,-0.09,-0.1,-0.1,-0.05,-0.18,-0.24,-0.24,-0.62,-0.4,-0.17,-1.0,-0.08
Damjanovic, Mato;Panno, Oscar;Lone Pine;1975;0.26,0.09,0.12,0.4,0.17,0.55,0.37,0.71,0.04,0.15,0.04,-0.02,0.14,0.05,0.35,0.15,0.0,0.17,0.13,0.05,0.2,0.17,0.04,0.23,0.06,-0.09,-0.04,0.08,0.22,0.04,0.17,0.13,-0.01,-0.01,-0.01,-0.02,-0.22,0.0,0.18,0.23,-0.07,-0.05,-0.13,-0.3,-0.24,-0.09,-0.13,0.0,-0.04,-0.04,-0.37,-0.19,-0.17,-0.2,-0.23,-0.26,-0.26,-0.33,-0.31,-0.2,-0.48,-0.33,-1.0,-0.16
Dominguez Perez,L;Polgar,Ju;FIDE World Cup 2011;2011;0.07,1.0,0.11,0.25,0.17,0.09,0.02,0.17,0.25,0.06,0.1,-0.08,-0.07,0.02,0.04,0.02,0.46,0.1,-0.66,-0.08,-0.04,0.01,0.08,0.01,0.15,-0.06,-0.0,-0.01,0.01,0.0,0.01,0.01,0.02,-0.09,-0.07,-0.01,0.01,-0.02,0.02,0.01,-0.04,-0.28,-0.2,-0.06,-0.06,-0.04,-0.04,0.02,0.04,-0.08,-0.1,-0.01,-0.14,-0.13,-0.03,-0.0,-0.11,-0.01,-0.07,-0.16,-0.2,-0.03,-0.27,-0.07
Polgar,Ju;Edouard,R;12th ch-EUR;2011;0.31,0.24,0.05,0.55,0.64,0.18,1.0,0.21,0.06,0.11,0.1,-0.08,0.09,0.15,0.29,0.12,0.05,0.0,0.1,0.09,0.0,0.04,0.0,0.0,0.14,0.0,0.06,0.02,0.06,0.0,0.0,0.02,-0.02,-0.02,-0.01,0.13,-0.13,0.0,-0.08,0.01,-0.04,-0.13,-0.09,-0.13,-0.02,-0.05,-0.04,-0.01,-0.01,-0.06,-0.0,0.0,-0.08,-0.0,-0.13,-0.14,-0.35,-0.14,-0.13,-0.6,-0.52,-0.31,-0.94,-0.55
