white;black;event;year;heatmap
Polgar, Judit;Adams, Michael;Dos Hermanas;1995;0.27,0.08,0.06,0.59,0.19,0.32,1.0,0.39,0.13,0.25,0.3,0.14,0.0,0.1,0.15,0.27,0.01,0.08,0.02,0.0,0.0,0.21,0.12,0.0,0.01,0.06,0.0,0.01,0.19,0.0,-0.02,0.07,0.0,-0.12,0.21,0.03,-0.07,-0.01,-0.13,0.02,-0.13,-0.14,-0.08,-0.04,-0.12,-0.48,0.0,-0.11,-0.01,-0.02,-0.14,-0.1,-0.03,-0.21,-0.96,-0.03,-0.25,-0.11,-0.15,-0.63,-0.45,-0.34,-0.36,-0.15
Panno, Oscar;Penrose, Jonathan;Palma de Mallorca;1969;0.34,0.32,0.05,0.3,0.42,0.14,0.39,0.43,0.27,0.05,0.24,0.34,0.16,0.08,0.26,0.06,0.01,0.0,0.4,0.01,0.41,0.21,0.45,0.0,0.06,0.1,-0.07,0.45,0.18,0.09,-0.09,0.07,0.04,-0.08,-0.03,0.13,-0.12,0.0,0.11,-0.07,-0.08,-0.02,0.0,-0.11,-0.02,-0.25,-0.14,-0.06,0.11,-0.62,-0.2,-0.22,-0.02,-0.15,-0.27,-0.53,-0.54,-0.24,-0.12,-0.81,-0.36,-0.38,-1.0,-0.07
Kasparov, Gary;Sokolov, Andrei;URS-ch55;1988;0.7,0.05,0.36,0.47,0.33,0.41,1.0,0.14,0.11,0.32,-0.01,0.09,0.3,0.24,0.26,0.24,0.19,-0.06,0.19,0.13,0.0,0.31,0.21,0.0,-0.12,0.08,-0.12,-0.18,0.1,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.14,-0.07,0.0,0.0,0.0,-0.28,-0.1,0.0,-0.04,-0.06,0.0,-0.0,-0.24,-0.09,-0.09,-0.39,-0.1,-0.3,-0.24,-0.24,-0.33,-0.09,-0.32,-0.71,-0.33,-0.39,-0.89,-0.2
Vallejo Pons,F;Kasparov,G;SuperGM;2002;0.23,0.27,0.25,0.41,0.81,0.33,0.7,0.12,0.32,0.03,0.23,0.2,0.06,0.21,0.2,0.8,0.03,0.33,0.19,0.05,0.12,0.18,0.05,0.06,0.0,-0.05,0.1,0.0,0.15,0.0,0.01,0.01,-0.1,0.0,-0.08,-0.0,-0.12,0.06,0.02,-0.14,0.0,-0.07,-0.29,-0.24,-0.14,-0.27,-0.13,-0.06,-0.07,-0.05,-0.69,-0.14,-0.47,-0.21,-0.16,-0.05,-0.32,-0.04,-0.22,-0.52,-0.63,-0.19,-1.0,-0.11
Gelfand,B;Polgar,Ju;IV World Blitz;2008;0.25,0.01,0.03,0.18,0.55,0.1,1.0,0.1,0.04,0.09,0.03,0.57,0.07,0.25,0.1,0.04,0.0,0.05,0.14,0.16,0.03,0.13,0.06,0.04,0.05,-0.04,0.16,0.02,0.02,0.29,-0.03,0.01,0.08,0.0,-0.13,0.17,0.0,-0.13,0.13,-0.0,-0.08,-0.06,0.03,-0.12,-0.09,-0.11,-0.22,0.02,-0.02,-0.05,-0.08,-0.18,-0.01,-0.54,-0.21,-0.17,-0.24,-0.05,-0.48,-0.42,-0.31,-0.2,-0.39,-0.53
Troianescu, Octavio;Panno, Oscar;Moscow olm fin-A;1956;0.54,0.12,0.25,0.44,0.28,0.24,1.0,0.13,-0.02,0.18,-0.02,0.12,0.29,0.16,0.64,0.04,0.07,0.07,0.19,0.01,0.33,0.1,0.06,0.09,0.0,0.31,0.04,0.15,0.0,0.11,-0.07,0.03,-0.05,0.02,-0.0,-0.12,0.03,-0.11,0.0,-0.04,-0.32,-0.34,-0.03,-0.13,-0.12,-0.24,-0.34,0.0,-0.03,-0.09,-0.02,-0.01,-0.1,-0.15,-0.42,-0.13,-0.26,-0.11,-0.14,-0.81,-0.33,-0.36,-0.85,-0.15
Panno, Oscar;Terres Trois, Francisco;Buenos Aires Konex;1991;0.09,0.03,0.17,0.3,0.27,0.06,1.0,0.04,0.02,0.06,0.04,0.18,0.1,0.08,0.23,0.11,0.1,0.13,0.08,0.08,0.05,0.13,0.05,0.01,0.0,0.14,0.04,0.08,0.13,-0.03,0.03,0.0,0.06,-0.03,0.07,-0.14,0.04,-0.01,-0.05,-0.03,-0.1,-0.03,-0.06,0.01,-0.1,-0.18,-0.13,-0.0,-0.02,-0.09,-0.21,-0.09,-0.22,-0.05,-0.35,-0.35,-0.09,-0.06,-0.31,-0.34,-0.29,-0.22,-0.3,-0.07
Polgar, Judit;Nikolic, Predrag;EUCup f;1993;0.36,0.08,0.25,0.36,0.83,0.1,0.34,0.58,0.02,0.03,0.03,0.21,0.1,0.31,0.14,0.14,0.12,-0.03,0.05,0.04,0.3,0.03,0.04,0.0,-0.24,0.04,-0.04,0.11,0.27,0.09,0.39,-0.08,-0.04,-0.01,-0.03,-0.04,0.13,-0.04,0.0,-0.0,-0.02,0.0,-0.08,0.0,-0.14,0.0,0.0,0.0,-0.13,-0.14,-0.02,-0.04,-0.43,-0.14,-0.14,-0.06,-0.55,-0.26,-0.31,-0.33,-0.5,-1.0,-0.08,-0.72
Kagan, Shimon;Panno, Oscar;Sao Paulo;1973;0.2,0.04,0.19,0.49,0.22,0.28,1.0,0.1,0.09,0.05,0.03,0.22,0.32,0.11,0.21,0.05,0.02,0.04,0.08,0.0,0.0,0.02,0.1,0.06,-0.02,-0.03,0.01,0.04,0.07,0.0,0.0,0.0,0.0,-0.03,-0.01,-0.05,0.02,0.0,0.0,0.0,-0.01,-0.14,-0.12,0.01,-0.01,-0.18,0.02,-0.0,-0.1,-0.25,0.04,-0.16,-0.1,-0.08,-0.12,-0.05,-0.18,-0.11,-0.19,-0.42,-0.29,-0.41,-0.83,-0.25
Kasparov, Gary;Pomes Marcet, Juan;Barcelona sim;1988;0.5,0.06,0.21,0.38,1.0,0.03,0.31,0.5,0.07,0.15,0.02,0.41,0.1,0.42,0.48,0.04,0.0,0.1,0.27,-0.03,0.12,0.0,0.24,0.01,0.15,0.05,0.23,0.02,0.12,0.23,-0.1,0.01,0.03,0.02,-0.16,0.21,-0.05,-0.39,0.0,-0.09,-0.01,0.0,0.0,-0.19,0.0,-0.35,-0.22,0.0,-0.15,-0.16,-0.37,-0.31,-0.25,-0.03,-0.48,-0.1,-0.51,-0.1,-0.23,-0.27,-0.5,-0.65,-0.44,-0.31
Kasparov, Gary;Tal, Mihail;Moscow tt;1983;0.31,0.02,0.06,0.46,0.49,0.16,1.0,0.16,0.09,0.06,0.3,0.0,0.13,0.12,0.07,0.12,0.0,0.01,0.12,0.0,0.08,0.03,0.09,0.0,0.05,0.02,-0.02,0.03,0.0,0.0,0.0,0.01,0.0,-0.59,-0.01,-0.21,-0.07,0.0,0.07,0.0,0.02,-0.07,-0.03,-0.02,-0.09,0.04,0.0,-0.01,-0.02,-0.22,0.03,-0.11,-0.01,-0.01,-0.02,-0.02,-0.29,-0.32,-0.56,-0.36,-0.48,-0.15,-0.01,-0.49
Van Foreest,Jorden;Giri,A;83rd Tata Steel Masters;2021;0.45,0.05,0.12,0.38,0.45,0.15,0.54,0.39,0.13,0.02,0.13,0.04,0.0,0.09,-0.03,0.09,0.09,0.23,-0.1,0.03,0.08,0.05,0.15,-0.22,0.07,0.02,0.03,0.01,0.03,0.13,-0.04,0.29,-0.04,-0.04,0.0,-0.03,-0.03,0.01,-0.04,-0.0,0.0,0.0,-0.1,0.0,0.0,-0.2,0.0,0.0,-0.02,-0.11,0.07,-0.04,-0.13,-0.14,-0.08,-0.09,-0.26,-0.12,-0.21,-0.34,-0.44,-0.45,-1.0,-0.17
Kasparov, Gary;Anand, Viswanathan;PCA/Intel-GP;1994;0.64,0.14,0.42,0.46,0.41,0.41,0.92,0.25,0.26,0.09,0.03,0.15,0.1,0.26,0.26,0.26,0.15,0.17,0.18,0.0,0.16,0.51,0.25,0.0,0.07,0.0,0.0,0.21,0.0,0.0,0.0,0.0,-0.26,0.02,-0.03,-0.21,0.01,0.0,0.0,0.0,0.0,-0.13,-0.26,0.0,-0.19,0.0,-0.24,0.0,-0.26,-0.13,-0.01,-0.12,-0.36,-0.26,-0.44,-0.26,-0.49,-0.13,-0.35,-0.48,-0.59,-0.27,-1.0,-0.3
Panno, Oscar;Olafsson, Fridrik;Portoroz Interzonal;1958;0.56,0.28,0.42,1.0,0.58,0.49,0.78,0.46,0.28,0.42,0.02,0.01,0.04,0.19,0.28,0.28,0.0,0.16,0.09,0.33,0.17,0.4,0.0,0.0,0.0,-0.19,0.13,0.16,0.17,0.0,0.0,0.0,-0.13,-0.01,-0.13,-0.19,0.13,0.0,0.0,0.0,0.0,-0.03,-0.13,0.0,-0.24,-0.33,0.0,0.0,-0.28,-0.42,-0.02,-0.23,-0.33,-0.28,-0.28,-0.28,-0.6,-0.11,-0.26,-0.91,-0.67,-0.56,-0.82,-0.4
